QRCodeHandle,ModelID,Archetype,FriendlyName,NumberOfRadios,SupportsBLE,ConflictPriority
"9828","440400982843","hueplay","Hue Play",1,TRUE,0
"4726","PGM009","huetube","Hue gradient linear",1,TRUE,0
"6253","1742830P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"1184","442296118491","huefloodlightcamera","Secure floodlight camera",1,TRUE,0
"1185","442296118501","huefloodlightcamera","Secure floodlight camera",1,TRUE,0
"7614","LWW003","walllantern","Hue outdoor wall",1,TRUE,2
"7615","LWF003","bollard","Hue outdoor pedestal",1,TRUE,2
"7616","LWF004","bollard","Hue outdoor post",1,TRUE,2
"5612","1740193P0","walllantern","Hue outdoor wall",1,TRUE,0
"5613","1740293P0","bollard","Hue outdoor pedestal",1,TRUE,0
"5614","1740393P0","bollard","Hue outdoor post",1,TRUE,0
"5615","1740447P0","walllantern","Hue outdoor wall",1,TRUE,0
"5616","1740547P0","bollard","Hue outdoor pedestal",1,TRUE,0
"5617","1740647P0","bollard","Hue outdoor post",1,TRUE,0
"6294","LWW002","walllantern","Hue outdoor wall",1,TRUE,0
"6295","LWS001","wallspot","Hue outdoor security light",2,FALSE,0
"6296","LWW002","walllantern","Hue outdoor wall",1,TRUE,0
"6297","1741430P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"6298","1741530P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"6299","1741630V7","groundspot","Hue outdoor spot",1,TRUE,0
"6300","1741730V7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"6301","1741830P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"6302","1741930V7","bollard","Hue Calla outdoor bollard",1,TRUE,0
"6303","1742030P7","bollard","Hue Calla outdoor pedestal",1,TRUE,0
"6304","1742130V7","bollard","Hue outdoor bollard",1,TRUE,0
"6305","1742230P7","bollard","Hue outdoor pedestal",1,TRUE,0
"6306","1742330P7","bollard","Hue outdoor pedestal",1,TRUE,0
"6674","1742730P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"6717","1742830P7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"7306","1742930P7","walllantern","Hue Impress outdoor wall",1,TRUE,0
"7308","1743030P7","walllantern","Hue Impress outdoor wall",1,TRUE,0
"7310","1743130P7","bollard","Hue Impress outdoor pedestal",1,TRUE,0
"7311","1743230P7","bollard","Hue Impress outdoor post",1,TRUE,0
"7313","1743430P7","bollard","Hue Impress outdoor pedestal",1,TRUE,0
"7314","1743530P7","walllantern","Hue Discover outdoor wall",1,TRUE,0
"7315","1743530V7","walllantern","Hue Discover outdoor wall",1,TRUE,0
"7316","1743630P7","walllantern","Hue Welcome outdoor wall",1,TRUE,0
"7317","1743630V7","walllantern","Hue outdoor wall",1,TRUE,0
"7318","1743730P7","bollard","Hue Calla outdoor pedestal",1,TRUE,0
"7319","1743830P7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7320","1743830V7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7321","1743930P7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7322","1743930V7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7323","1744030P7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7324","1744030V7","walllantern","Hue Econic outdoor wall",1,TRUE,0
"7325","1744130P7","bollard","Hue Econic outdoor pedestal",1,TRUE,0
"7326","1745230V7","bollard","Hue outdoor pedestal",1,TRUE,0
"7327","1744230P7","bollard","Hue Econic outdoor post",1,TRUE,0
"7329","1744430P7","walllantern","Hue Fuzo outdoor wall",1,TRUE,0
"7330","1744530P7","walllantern","Hue Fuzo outdoor wall",1,TRUE,0
"7331","1744630P7","walllantern","Hue Fuzo outdoor wall",1,TRUE,0
"7332","1744730P7","bollard","Hue Fuzo outdoor pedestal",1,TRUE,0
"7333","1744830P7","bollard","Hue Fuzo outdoor post",1,TRUE,0
"9150057339","440400982843","hueplay","Hue Play",1,TRUE,0
"7392","3402931P7","wallshade","Hue ambiance wall",1,TRUE,0
"7393","3402831P7","wallshade","Hue ambiance wall",1,TRUE,0
"7542","LTD006","recessedceiling","Hue ambiance downlight",1,FALSE,0
"7544","LTD007","recessedceiling","Hue ambiance downlight",1,FALSE,0
"7545","LTD008","recessedceiling","Hue ambiance downlight",1,FALSE,0
"7563","1745030A7","bollard","Hue outdoor pedestal",1,TRUE,0
"7565","1744930A7","groundspot","Hue Lily outdoor spotlight",1,TRUE,0
"7580","1745130P7","bollard","Hue outdoor pedestal",1,TRUE,0
"7611","5063131P7","singlespot","Hue Fugato color spot",1,TRUE,0
"7612","5063130P7","singlespot","Hue Fugato color spot",1,TRUE,0
"7613","5063231P7","doublespot","Hue Fugato color spot",2,TRUE,0
"7614","5063230P7","doublespot","Hue Fugato color spot",2,TRUE,1
"7615","5063331P7","doublespot","Hue Fugato color spot",3,TRUE,1
"7616","5063330P7","doublespot","Hue Fugato color spot",3,TRUE,1
"7617","5063431P7","doublespot","Hue Fugato color spot",4,TRUE,0
"7618","5063430P7","doublespot","Hue Fugato color spot",4,TRUE,0
"7619","5062131P7","singlespot","Hue Argenta color spot",1,TRUE,0
"7620","5062231P7","doublespot","Hue Argenta color spot",2,TRUE,0
"7621","5062331P7","doublespot","Hue Argenta color spot",3,TRUE,0
"7622","5062431P7","doublespot","Hue Argenta color spot",4,TRUE,0
"7623","5062148P7","singlespot","Hue Argenta color spot",1,TRUE,0
"7624","5062248P7","doublespot","Hue Argenta color spot",2,TRUE,0
"7625","5062348P7","doublespot","Hue Argenta color spot",3,TRUE,0
"7626","5062448P7","doublespot","Hue Argenta color spot",4,TRUE,0
"7665","1745430P7","bollard","Hue outdoor pedestal",1,TRUE,0
"7666","5045148P7","recessedceiling","Hue Centura color spot",1,TRUE,0
"7667","5045131P7","recessedceiling","Hue Centura color spot",1,TRUE,0
"7668","5055148P7","recessedceiling","Hue Centura color spot",1,TRUE,0
"7669","5055131P7","recessedceiling","Hue Centura color spot",1,TRUE,0
"8219","915005821901","huego","Hue Go",1,TRUE,0
"8220","915005822001","huego","Hue Go",1,TRUE,0
"8221","7602031U7","huego","Hue Go",1,TRUE,0
"8222","915005822201","huego","Hue Go",1,TRUE,0
"8223","915005822301","huego","Hue Go",1,TRUE,0
"8224","7602031J6","huego","Hue Go",1,TRUE,0
"8225","915005822501","huego","Hue Go",1,TRUE,1
"8226","915005822601","huego","Hue Go",1,TRUE,0
"8233","LTD009","recessedceiling","Hue ambiance downlight",1,TRUE,1
"8234","LTD010","recessedceiling","Hue ambiance downlight",1,TRUE,1
"8245","LCD001","recessedceiling","Hue color downlight",1,TRUE,0
"8246","LCD002","recessedceiling","Hue color downlight",1,TRUE,0
"8416","1745530P7","bollard","Hue outdoor pedestal",1,TRUE,0
"8417","1745630P7","walllantern","Hue outdoor wall",1,TRUE,0
"8419","1745730V7","floorlantern","Hue Econic outdoor pedestal",1,TRUE,0
"8421","1745930P7","walllantern","Hue Impress outdoor wall",1,TRUE,0
"8424","1746130P7","walllantern","Hue Attract outdoor wall",1,TRUE,0
"8425","1746130V7","walllantern","Hue outdoor wall",1,TRUE,0
"8426","1746230P7","groundspot","Hue Lily XL outdoor spot",1,TRUE,0
"8427","1746230V7","groundspot","Hue Lily XL outdoor spot",1,TRUE,0
"8428","1746330P7","walllantern","Hue Appear outdoor wall",1,TRUE,0
"8429","1746430P7","walllantern","Hue Resonate outdoor wall",1,TRUE,0
"8430","1746447P7","walllantern","Hue Resonate outdoor wall",1,TRUE,0
"8431","1746330V7","walllantern","Hue Appear outdoor wall",1,TRUE,0
"8432","1746530P7","walllantern","Hue Daylo outdoor wall",1,TRUE,0
"8433","1746547P7","walllantern","Hue Daylo outdoor wall",1,TRUE,0
"8434","1746630P7","wallwasher","Hue Amarant wall washer",1,TRUE,0
"8435","1746630V7","wallwasher","Hue Amarant wall washer",1,TRUE,0
"8604","1745430A7","bollard","Hue outdoor pedestal",1,TRUE,0
"8691","4100148U9","ceilinground","Hue ambiance ceiling",1,TRUE,0
"8696","4100248U9","ceilinground","Hue Fair ceiling",1,TRUE,0
"8697","4100348U9","pendantround","Hue ambiance pendant",1,TRUE,0
"8700","4096730U9","ceilinground","Hue Cher ceiling",1,TRUE,0
"8703","4080148U9","tableshade","Hue Signe table",1,TRUE,0
"8704","4080248U9","floorshade","Hue Signe floor",1,TRUE,0
"8711","4090431U9","tableshade","Hue Flourish table",1,TRUE,0
"8713","4090631U9","pendantround","Hue Flourish pendant",1,TRUE,0
"8714","4100448U9","ceilinground","Hue Being ceiling",1,TRUE,0
"8715","4080148P9","tableshade","Hue color table",1,TRUE,0
"8716","4080248P9","floorshade","Hue color floor",1,TRUE,0
"8717","4090130P9","wallshade","Hue color wall",1,TRUE,0
"8718","4090131P9","wallshade","Hue color wall",1,TRUE,0
"8719","4090230P9","wallshade","Hue color wall",1,TRUE,0
"8720","4090231P9","wallshade","Hue color wall",1,TRUE,0
"8721","4090331P9","pendantlong","Hue color pendant",2,TRUE,0
"8722","4090431P9","tableshade","Hue color table",1,TRUE,0
"8723","4090531P9","ceilinground","Hue color ceiling",1,TRUE,0
"8724","4090631P9","pendantround","Hue color pendant round",1,TRUE,0
"8754","LTD011","recessedceiling","Hue ambiance downlight",1,TRUE,0
"9056","4080248G9","floorshade","Hue color floor",1,TRUE,0
"9123","4080130P6","tableshade","Hue Wellness Table",1,TRUE,0
"9124","4080130G6","tableshade","Hue Wellness Table",1,TRUE,0
"9125","4440156P6","tableshade","Hue Wellner Table",1,TRUE,0
"9127","4076131P6","pendantround","Hue Cher Pendant",1,TRUE,0
"9128","4076130P6","pendantround","Hue Cher Pendant",1,TRUE,0
"9129","4033931P6","pendantround","Hue Fair Pendant",1,TRUE,0
"9130","4033930P6","pendantround","Hue Fair Pendant",1,TRUE,0
"9131","4034031P6","ceilinground","Hue Fair Ceiling",1,TRUE,0
"9132","4034030P6","ceilinground","Hue Fair Ceiling",1,TRUE,0
"9133","4023331P6","pendantround","Hue Amaze Pendant",1,TRUE,0
"9134","4023330P6","pendantround","Hue Amaze Pendant",1,TRUE,0
"9135","3261031P6","ceilinground","Hue Being Ceiling",1,TRUE,0
"9136","3261030P6","ceilinground","Hue Being Ceiling",1,TRUE,0
"9137","3261048P6","ceilinground","Hue Being Ceiling",1,TRUE,0
"9138","3261331P6","ceilinground","Hue Still Ceiling",1,TRUE,0
"9139","3261348P6","ceilinground","Hue Still Ceiling",1,TRUE,0
"9140","3261330P6","ceilinground","Hue Still Ceiling",1,TRUE,0
"9141","4096730P6","ceilinground","Hue Cher Ceiling",1,TRUE,0
"9142","4096930P6","ceilinground","Hue Cher Ceiling",1,TRUE,0
"9143","4300631P6","pendantround","Hue Devote Pendant",1,TRUE,0
"9144","4300731P6","pendantround","Hue Devote Pendant",1,TRUE,0
"9145","915005914501","pendantround","Hue Being pendant",1,TRUE,0
